checkpoint,train_h,train_r,train_t,test_h,test_r,test_t,influence
model_10.pt,CHEBI:9654,predicate:0,MONDO:0001160,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:8232,predicate:2,MONDO:0024313,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,UNII:8O74K609HN,predicate:2,MONDO:0005010,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:32315,predicate:3,UMLS:C1504424,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:18358,predicate:0,MONDO:0006596,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:8361,predicate:3,MONDO:0005391,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:61049,predicate:2,MONDO:0005388,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:75991,predicate:1,HP:0011123,CHEBI:3437,predicate:1,MONDO:0001358,17.897125244140625
model_10.pt,CHEBI:50742,predicate:1,MONDO:0004995,CHEBI:3437,predicate:1,MONDO:0001358,-25.978546142578125
model_10.pt,CHEBI:133833,predicate:2,HP:0025169,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,MESH:C005152,predicate:2,MONDO:0021698,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,UNII:50FKX8CB2Y,predicate:0,HP:0002788,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:63112,predicate:3,MONDO:0004095,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,PUBCHEM.COMPOUND:131790571,predicate:4,MONDO:0010543,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:32184,predicate:1,MONDO:0011438,CHEBI:3437,predicate:1,MONDO:0001358,-26.973051071166992
model_10.pt,CHEBI:68329,predicate:2,HP:0001510,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:27958,predicate:7,CHEBI:35703,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:4875,predicate:2,MONDO:0002529,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:30853,predicate:0,HP:0000969,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:38824,predicate:14,MONDO:0005372,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:7459,predicate:0,HP:0002045,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,PUBCHEM.COMPOUND:131786948,predicate:4,MONDO:0010543,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:8228,predicate:0,MONDO:0002100,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,UNII:4EQZ6YO2HI,predicate:3,HP:0001662,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:9943,predicate:3,UMLS:C0151500,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,UNII:M0Q7802G2B,predicate:0,MONDO:0016532,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:51799,predicate:2,MONDO:0005136,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:3127,predicate:3,UMLS:C0743862,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:6076,predicate:1,HP:0002329,CHEBI:3437,predicate:1,MONDO:0001358,4.466292381286621
model_10.pt,CHEBI:31547,predicate:2,MONDO:0000816,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:177504,predicate:2,HP:0002140,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:16709,predicate:2,MONDO:0015194,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:9927,predicate:3,UMLS:C1321686,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:9421,predicate:10,UMLS:C0276085,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,HP:0410055,predicate:14,CHEBI:17113,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:2904,predicate:3,UMLS:C0549475,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:131848,predicate:7,CHEBI:22333,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:72296,predicate:1,UMLS:C3203457,CHEBI:3437,predicate:1,MONDO:0001358,-62.09090805053711
model_10.pt,CHEBI:3568,predicate:1,MONDO:0002884,CHEBI:3437,predicate:1,MONDO:0001358,35.68842697143555
model_10.pt,CHEBI:12777,predicate:2,MONDO:0008487,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:17833,predicate:6,UMLS:C0549398,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:41423,predicate:3,UMLS:C0854326,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:9249,predicate:2,MONDO:0019623,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:12777,predicate:3,MONDO:0004335,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:16714,predicate:5,HP:0001944,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:156291,predicate:7,CHEBI:35610,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:90943,predicate:0,HP:0001824,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:17076,predicate:2,MONDO:0009061,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:72564,predicate:2,MONDO:0858956,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:69478,predicate:3,UMLS:C1306577,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:134991,predicate:1,MONDO:0018546,CHEBI:3437,predicate:1,MONDO:0001358,-49.65880584716797
model_10.pt,CHEBI:25351,predicate:2,MONDO:0005233,CHEBI:3437,predicate:1,MONDO:0001358,0.0
model_10.pt,CHEBI:3766,predicate:0,HP:0002240,CHEBI:3437,predicate:1,MONDO:0001358,0.0
